Run_Time,Random_Error,True_Error,Accuracy,Accuracy1,quality,FullProblem
1.5437860488891602,0.00686677185231456,2.275957200481571e-15,1.0,0.0,0.0,0.0
1.0784130096435547,0.009405264378393667,5.551115123125783e-17,1.0,0.0,0.0,0.0
2.839709997177124,0.012535319432738057,1.7099754251459487e-10,0.99,0.0,0.0,0.0
2.6661031246185303,0.013939055973164437,8.4340187611609e-11,0.99,0.0,0.0,0.0
1.0450389385223389,0.015234915768204953,1.5482892745666277e-12,0.96,0.0,0.0,0.0
2.8159611225128174,0.01533781202978568,4.908753958865475e-12,0.97,0.0,0.0,0.0
2.7087972164154053,0.01566252739656291,1.5320071600211094e-11,0.97,0.0,0.0,0.0
1.0857739448547363,0.015740813871807972,1.7582796330017914e-10,0.96,0.0,0.0,0.0
2.8492980003356934,0.01680386470160556,8.004333307276568e-12,0.92,0.0,0.0,0.0
2.6598598957061768,0.01687275328267268,4.8366297078494824e-11,0.93,0.0,0.0,0.0
1.0825519561767578,0.016894070949944884,7.266479085110689e-11,0.91,0.0,0.0,0.0
2.9155960083007812,0.016894071103520446,1.4608159820683753e-10,0.91,0.0,0.0,0.0
2.576613187789917,0.01693238370706892,1.4918397073238054e-10,0.91,0.0,0.0,0.0
1.166491985321045,0.01708511000690275,7.743659879988485e-11,0.9,0.0,0.0,0.0
3.148376941680908,0.01717826849195009,2.782367322651247e-10,0.91,0.0,0.0,0.0
2.4493720531463623,0.01738810357168672,1.7918071193445684e-10,0.88,0.0,0.0,0.0
3.0644571781158447,0.01738810354445232,3.2107446562568143e-10,0.88,0.0,0.0,0.0
1.2185909748077393,0.01738810356496051,1.906658164685382e-11,0.88,0.0,0.0,0.0
2.575701951980591,0.01757890734038877,1.6805092040161895e-11,0.84,0.0,0.0,0.0
2.9315829277038574,0.017582005525740053,7.910787303000433e-11,0.83,0.0,0.0,0.0
1.2977569103240967,0.01758200565926729,1.0590570087565254e-10,0.83,0.0,0.0,0.0
2.985973834991455,0.017918107235165806,1.594641155233667e-10,0.78,0.0,0.0,0.0
2.56888484954834,0.017918107239704856,1.0849059151052387e-10,0.78,0.0,0.0,0.0
3.0767009258270264,0.01791810724842078,3.634912093541942e-10,0.78,0.0,0.0,0.0
1.191823959350586,0.017925035547212156,5.375971057208773e-10,0.78,0.0,0.0,0.0
2.5624611377716064,0.017925035492137073,5.421383966752735e-10,0.78,0.0,0.0,0.0
